,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Building_Age,YEAR_BUILD,YEAR OF SALES
1263,Velachery,1514,2008-10-14,67,2,1,4,Normal Sale,Yes,1968-10-24,Others,All Pub,No Access,C,285565,111053,7932350,39,1968,2008
1264,Karapakkam,1125,2010-05-03,176,1,1,3,AbNormal,No,1969-03-15,Commercial,ELO,No Access,RH,306765,193746,8072750,41,1969,2010
1265,Karapakkam,1394,2010-10-25,60,2,2,4,Adj Land,Yes,1967-05-11,House,All Pub,No Access,I,243679,111396,6962250,43,1967,2010
1266,Karapakkam,1609,2009-05-08,60,2,2,4,Family,No,1989-10-08,Commercial,All Pub,Paved,RM,428241,129770,12977000,19,1989,2009
1267,T Nagar,1916,2010-11-13,166,2,1,5,Partial,No,2003-11-15,House,ELO,Gravel,RL,342548,184449,13174940,6,2003,2010
1268,Chrompet,1015,2013-03-22,24,1,1,3,Normal Sale,No,2005-03-24,House,No Sewage,No Access,RL,255486,92904,7742000,7,2005,2013
1269,Chrompet,835,2014-07-01,124,1,1,3,Partial,No,1984-01-15,Others,No Sewage,Paved,RH,230883,83957,6996450,30,1984,2014
1270,Anna Nagar,1617,2012-11-27,128,1,1,4,Normal Sale,No,1976-06-12,House,All Pub,No Access,RM,329667,181885,11367820,36,1976,2012
1271,T Nagar,1901,2012-03-15,75,2,1,5,Normal Sale,No,1993-03-20,House,No Sewage,Gravel,RM,448049,238026,14001530,18,1993,2012
1272,Anna Nagar,1548,2013-05-12,81,1,1,4,Partial,Yes,1974-12-15,Commercial,ELO,Paved,RM,557957,111591,18598580,38,1974,2013
1273,Anna Nagar,1660,2015-07-02,50,1,1,4,Family,Yes,1982-02-15,House,No Sewage,No Access,RL,371792,174278,11618510,33,1982,2015
1274,Karapakkam,890,2010-05-07,163,1,1,3,Adj Land,Yes,1994-09-07,Others,ELO,Gravel,C,322356,120884,6715750,15,1994,2010
1275,Chrompet,956,2007-03-24,134,1,1,3,Family,Yes,1978-03-31,Commercial,All Pub,Paved,RH,296124,130294,11844950,28,1978,2007
1276,Velachery,1841,2007-07-02,37,3,2,5,Adj Land,Yes,1960-02-19,House,All Pub,Gravel,RL,356258,183875,11492190,47,1960,2007
1277,Chrompet,1280,2011-03-16,185,2,1,4,Family,No,2004-03-17,Commercial,No Sewage,No Access,RM,396308,127385,14153850,6,2004,2011
1278,Anna Nagar,1636,2010-02-19,66,1,1,4,Family,Yes,1990-02-24,Others,No Sewage,No Access,RM,498902,256193,13483830,19,1990,2010
1279,KK Nagar,2204,2011-08-10,126,3,2,5,Normal Sale,Yes,2002-10-10,Others,No Sewage,Paved,RH,490282,208370,12257060,8,2002,2011
1280,Karapakkam,1203,2010-11-13,199,1,1,3,Normal Sale,Yes,1999-11-16,Others,All Pub,No Access,A,282793,144405,6016875,10,1999,2010
1281,Chrompet,1122,2009-08-03,33,1,1,3,Adj Land,No,1985-03-14,House,ELO,Paved,RH,200395,48095,8015800,24,1985,2009
1282,Anna Nagar,1574,2011-07-15,78,1,1,4,Partial,No,1980-07-22,House,ELO,Gravel,RL,363121,77026,11003670,30,1980,2011
1283,KK Nagar,1374,2010-06-08,172,2,1,4,Normal Sale,No,1994-10-08,House,All Pub,Gravel,RM,477334,233796,9741520,15,1994,2010
1284,Velachery,1746,2010-08-13,163,2,1,4,Normal Sale,Yes,1974-08-22,Commercial,ELO,Paved,C,449672,177143,13626420,35,1974,2010
1285,Karapakkam,1370,2010-01-08,193,2,2,4,Family,Yes,1980-08-08,House,ELO,Gravel,I,229005,152670,7633500,29,1980,2010
1286,Karapakkam,1362,2012-02-29,27,2,2,4,AbNormal,No,1964-12-03,House,No Sewage,Gravel,C,252754,135194,5878000,47,1964,2012
1287,Anna Nagar,1897,2007-10-23,148,2,1,5,Normal Sale,No,1990-10-27,Commercial,No Sewage,Gravel,RH,559938,394030,20738440,16,1990,2007
1288,Chrompet,1020,2014-05-15,80,1,1,3,Normal Sale,No,1979-05-24,House,No Sewage,Paved,RL,208007,128004,8000250,34,1979,2014
1289,Chrompet,897,2008-03-28,79,1,1,3,Adj Land,Yes,1973-06-04,House,All Pub,No Access,RM,249117,44485,8897050,34,1973,2008
1290,Adyar,1023,2007-03-18,198,1,1,3,Family,No,1994-03-21,Commercial,All Pub,Gravel,I,484596,181723,12114895,12,1994,2007
1291,Karapakkam,1344,2011-10-24,100,2,2,4,Partial,Yes,1972-02-11,Others,No Sewage,Paved,RM,289579,224190,9341250,39,1972,2011
1292,Anna Nagar,1689,2011-07-06,96,1,1,4,Adj Land,Yes,1980-06-14,Commercial,No Sewage,Gravel,RL,574409,307719,20514620,31,1980,2011
1293,Velachery,1764,2007-09-02,28,2,1,4,Adj Land,No,1954-02-22,Commercial,All Pub,No Access,RM,440633,279067,14687760,53,1954,2007
1294,KK Nagar,1820,2009-06-26,84,3,2,5,Normal Sale,Yes,2004-06-27,House,All Pub,Paved,RL,388329,221902,11095100,4,2004,2009
1295,Chrompet,987,2010-04-03,39,1,1,3,Normal Sale,Yes,2006-05-03,House,All Pub,Gravel,RM,340691,106466,10646600,3,2006,2010
1296,T Nagar,1688,2008-12-15,171,1,1,4,Partial,Yes,2000-12-17,House,No Sewage,No Access,RM,321820,141601,12872810,7,2000,2008
1297,Anna Nagar,1908,2009-01-21,164,2,1,5,Adj Land,No,1989-01-26,House,All Pub,No Access,RH,339193,181711,12114050,19,1989,2009
1298,Chrompet,1078,2009-07-02,54,1,1,3,Adj Land,Yes,1972-02-17,House,No Sewage,Paved,RL,243057,140225,9348350,37,1972,2009
1299,Karapakkam,1637,2011-07-23,100,2,2,4,AbNormal,Yes,1967-03-08,House,ELO,Paved,RM,432745,169335,9407500,44,1967,2011
1300,Adyar,1019,2009-04-14,87,1,1,3,AbNormal,Yes,1988-04-19,House,No Sewage,Paved,RH,322694,125492,8963715,20,1988,2009
1301,Chrompet,1198,2013-12-28,7,1,1,3,Partial,Yes,1983-05-01,Commercial,ELO,No Access,RL,355402,92141,13163050,30,1983,2013
1302,Chrompet,1002,2010-05-22,45,1,1,3,Normal Sale,Yes,1984-05-28,Commercial,No Sewage,Gravel,RH,404950,88583,12654700,25,1984,2010
1303,Karapakkam,1088,2012-02-15,176,1,1,3,Family,No,1974-02-24,Commercial,ELO,Gravel,I,279923,118755,8482500,37,1974,2012
1304,Anna Nagar,1703,2011-03-23,101,1,1,4,Normal Sale,Yes,1971-02-04,Commercial,All Pub,Gravel,RM,650685,230888,20989850,40,1971,2011
1305,Chrompet,946,2012-10-21,190,1,1,3,AbNormal,Yes,1996-10-25,House,No Sewage,Paved,RH,231722,33103,8275800,15,1996,2012
1306,Velachery,1983,2009-12-17,6,3,2,5,Partial,No,1969-12-27,Commercial,ELO,Paved,A,438606,186075,13291100,39,1969,2009
1307,Karapakkam,1112,2010-05-05,190,1,1,3,AbNormal,No,1963-05-17,Commercial,No Sewage,Paved,RM,407058,178709,9928250,46,1963,2010
1308,Adyar,700,2011-10-30,134,1,1,2,Family,Yes,1996-02-11,House,No Sewage,Paved,RH,273943,76095,7609525,15,1996,2011
1309,Anna Nagar,1956,2014-05-12,133,2,1,5,Normal Sale,Yes,2007-07-12,Others,All Pub,No Access,RL,394631,182137,15178120,6,2007,2014
1310,KK Nagar,1666,2009-06-01,175,2,1,4,Adj Land,No,1982-01-13,Others,No Sewage,Paved,RL,353677,171786,10105060,27,1982,2009
1311,Velachery,1959,2004-12-21,73,3,2,5,Partial,No,1956-03-01,House,All Pub,Paved,RM,388561,184055,10225280,48,1956,2004
1312,Chrompet,1276,2010-11-17,92,2,1,4,Partial,Yes,1995-11-21,Others,No Sewage,No Access,RL,340209,92784,10309370,14,1995,2010
1313,Chrompet,1079,2007-01-30,171,1,1,3,Partial,Yes,1991-03-02,House,ELO,Paved,RH,211580,126948,8463200,15,1991,2007
1314,KK Nagar,2357,2011-12-06,151,4,2,6,Partial,Yes,1985-06-18,Others,All Pub,Gravel,RH,399003,193066,12871060,26,1985,2011
1315,Anna Nagar,1988,2009-04-11,134,2,1,5,Family,No,1990-09-11,Others,No Sewage,Gravel,RL,472793,177297,14774770,18,1990,2009
1316,Karapakkam,1257,2009-12-18,35,1,1,3,Partial,Yes,1986-12-24,Others,All Pub,Paved,RH,359574,155270,8172125,22,1986,2009
1317,Velachery,1827,2007-04-04,182,3,2,5,Adj Land,No,1978-11-04,Commercial,ELO,Paved,RH,592747,296374,14818680,28,1978,2007
1318,T Nagar,1661,2010-01-17,51,1,1,4,Normal Sale,Yes,1995-01-21,Commercial,No Sewage,Paved,RM,777136,224960,20450950,14,1995,2010
1319,Karapakkam,939,2010-03-23,35,1,1,3,Family,No,1982-03-30,Commercial,ELO,Paved,RM,338513,192129,9149000,27,1982,2010
1320,Velachery,1607,2011-02-10,45,2,1,4,Adj Land,Yes,2004-03-10,Commercial,No Sewage,No Access,A,374971,149988,12499040,6,2004,2011
1321,KK Nagar,1829,2010-01-02,50,3,2,5,Adj Land,No,1980-09-02,Others,All Pub,Paved,RH,441738,226006,10272980,29,1980,2010
1322,Chrompet,806,2008-09-26,11,1,1,3,Family,No,1996-09-29,House,No Sewage,Gravel,RM,241819,86364,8636400,11,1996,2008
1323,Chrompet,784,2011-12-10,162,1,1,2,Adj Land,No,1985-10-18,House,All Pub,Paved,RL,209997,44999,7499900,26,1985,2011
1324,Velachery,1540,2005-10-18,36,2,1,4,Partial,Yes,1987-10-23,Commercial,All Pub,Gravel,A,480611,113829,12647660,17,1987,2005
1325,Anna Nagar,1794,2014-11-13,62,1,1,4,Adj Land,No,2000-11-16,Commercial,No Sewage,Paved,RM,729338,104191,20838230,13,2000,2014
1326,KK Nagar,1875,2010-06-04,22,3,2,5,Partial,No,2004-07-04,House,All Pub,Paved,RH,279874,158595,9329120,5,2004,2010
1327,KK Nagar,1494,2010-08-08,35,2,1,4,Partial,No,2002-10-08,House,No Sewage,Gravel,RL,282731,82083,9120360,7,2002,2010
1328,T Nagar,1921,2009-05-25,134,2,1,5,Family,Yes,1981-01-06,Commercial,No Sewage,Paved,RH,694678,126305,21050860,28,1981,2009
1329,Adyar,603,2010-03-12,188,1,1,2,Family,No,2001-05-12,House,No Sewage,Gravel,I,197931,61853,6185335,8,2001,2010
1330,KK Nagar,1479,2011-05-30,192,2,1,4,Partial,No,1984-05-06,Others,All Pub,Paved,RH,319235,134415,8400920,27,1984,2011
1331,Anna Nagar,1574,2010-11-17,128,1,1,4,Partial,No,1978-11-25,House,No Sewage,Gravel,RM,320110,189695,11855940,31,1978,2010
1332,Chrompet,730,2007-05-03,4,1,1,2,AbNormal,Yes,1989-09-03,Others,ELO,Paved,RM,242260,89726,8972600,17,1989,2007
1333,KK Nagar,2450,2010-04-16,197,4,2,6,Normal Sale,No,1980-04-23,House,No Sewage,Gravel,RM,562797,137573,12506600,29,1980,2010
1334,KK Nagar,1379,2009-09-05,83,2,1,4,AbNormal,No,1990-05-14,Others,No Sewage,Gravel,RM,439020,122517,10209760,19,1990,2009
1335,T Nagar,1621,2009-03-02,101,1,1,4,AbNormal,No,1964-02-15,Others,All Pub,Paved,RM,412785,167694,12899530,45,1964,2009
1336,Karapakkam,617,2010-12-02,74,1,1,2,Partial,No,1984-02-19,Others,No Sewage,No Access,A,118866,47051,2476375,26,1984,2010
1337,Karapakkam,508,2011-12-25,115,1,1,2,Family,Yes,1995-12-29,House,No Sewage,Gravel,I,249876,62469,5679000,15,1995,2011
1338,Karapakkam,1485,2009-09-17,120,2,2,4,AbNormal,Yes,1977-09-25,House,ELO,No Access,RL,360923,104267,8020500,31,1977,2009
1339,Karapakkam,804,2010-10-22,46,1,1,2,Normal Sale,No,2003-10-24,Commercial,No Sewage,No Access,RM,293869,75566,8396250,6,2003,2010
1340,Chrompet,917,2007-10-11,147,1,1,3,Partial,No,1999-12-11,House,ELO,No Access,RL,199097,78217,7110600,7,1999,2007
1341,Anna Nagar,1729,2011-09-13,80,1,1,4,Adj Land,No,1974-09-22,Others,No Sewage,Gravel,RM,382289,99112,14158860,36,1974,2011
1342,Chrompet,1102,2009-01-25,89,1,1,3,Normal Sale,Yes,1980-02-02,Commercial,No Sewage,Gravel,RM,449839,246686,14510950,28,1980,2009
1343,Velachery,1826,2005-06-18,67,3,2,5,Adj Land,Yes,1974-06-26,Commercial,No Sewage,Paved,RL,647223,215741,16595470,30,1974,2005
1344,Velachery,1864,2009-03-08,46,3,2,5,Normal Sale,Yes,1958-08-16,Commercial,No Sewage,Gravel,RH,636543,206876,15913570,50,1958,2009
1345,Velachery,1776,2004-08-19,196,2,1,4,Partial,No,1956-08-31,Others,All Pub,Paved,RM,333552,177200,10423510,47,1956,2004
1346,Chrompet,1091,2010-08-29,184,1,1,3,AbNormal,No,2002-08-31,Commercial,ELO,No Access,RM,317265,164978,12690600,7,2002,2010
1347,Adyar,712,2009-04-05,118,1,1,2,Family,Yes,1998-07-05,Commercial,No Sewage,Paved,RH,403057,137888,10606765,10,1998,2009
1348,Chrompet,795,2014-05-14,16,1,1,2,Family,Yes,1997-05-18,Commercial,No Sewage,Gravel,RM,406341,209327,12313350,16,1997,2014
1349,Chrompet,922,2009-04-30,80,1,1,3,Adj Land,Yes,1987-06-05,Commercial,No Sewage,Paved,RM,332248,53160,13289900,21,1987,2009
1350,Karapakkam,1473,2010-09-02,80,2,2,4,Partial,Yes,2000-12-02,House,No Sewage,Paved,RH,258912,100224,8352000,9,2000,2010
1351,Karapakkam,1699,2009-12-22,10,2,2,4,Normal Sale,Yes,2000-12-24,Commercial,ELO,No Access,C,422679,102814,11423750,8,2000,2009
1352,Chrompet,1026,2011-06-25,5,1,1,3,Adj Land,No,1992-06-29,Others,ELO,Gravel,RM,293482,80961,10120070,18,1992,2011
1353,Anna Nagar,1570,2008-07-02,68,1,1,4,AbNormal,No,1975-02-15,Others,No Sewage,No Access,RH,322143,96643,10738110,33,1975,2008
1354,KK Nagar,1479,2008-09-25,199,2,1,4,Family,No,1986-01-10,House,All Pub,Gravel,RH,348321,186904,8495640,22,1986,2008
1355,KK Nagar,2380,2010-11-29,20,4,2,6,Normal Sale,No,1988-04-12,Others,No Sewage,Gravel,RH,518324,135751,12341040,22,1988,2010
1356,Chrompet,704,2015-02-16,52,1,1,2,Partial,No,1976-02-26,House,All Pub,Gravel,RH,162460,81230,6248450,38,1976,2015
1357,KK Nagar,1325,2009-06-06,139,1,1,3,Normal Sale,Yes,1984-12-06,House,No Sewage,Paved,RH,322145,101730,8477500,24,1984,2009
1358,Velachery,1558,2004-05-12,49,2,1,4,Family,No,1949-12-19,Commercial,All Pub,Paved,RH,452317,87950,12564350,54,1949,2004
1359,Chrompet,1133,2009-11-14,64,1,1,3,Partial,Yes,2004-11-15,Others,All Pub,No Access,RH,307064,158184,9304960,4,2004,2009
1360,KK Nagar,1866,2012-01-14,86,3,2,5,Adj Land,No,1991-01-19,House,All Pub,Gravel,RL,530289,227267,10822220,20,1991,2012
1361,Adyar,936,2011-01-20,106,1,1,3,Normal Sale,Yes,1987-01-26,Others,ELO,Paved,RH,352492,108459,9038260,23,1987,2011
1362,Velachery,1657,2008-10-06,187,2,1,4,Normal Sale,No,1958-06-23,Commercial,All Pub,No Access,A,401448,184449,10849950,50,1958,2008
1363,Chrompet,904,2011-02-12,36,1,1,3,Family,No,1999-05-12,Others,All Pub,No Access,RM,236658,50712,8452080,11,1999,2011
1364,Chrompet,924,2015-02-13,183,1,1,3,Adj Land,Yes,1985-02-20,Commercial,ELO,Gravel,RM,404553,229247,13485100,29,1985,2015
1365,KK Nagar,2031,2009-05-03,74,3,2,5,Adj Land,Yes,1993-09-03,Others,No Sewage,Paved,RH,498882,190050,11878140,15,1993,2009
1366,Velachery,1945,2011-03-30,63,3,2,5,Family,Yes,1995-03-04,House,ELO,Gravel,RH,416553,153467,10961920,16,1995,2011
1367,Chrompet,1297,2014-07-28,170,2,1,4,Family,No,1975-07-08,House,No Sewage,Gravel,RM,282477,131150,10088450,39,1975,2014
1368,KK Nagar,2179,2010-03-30,132,3,2,5,AbNormal,Yes,1981-06-04,Commercial,All Pub,Paved,RL,589346,357180,17858980,28,1981,2010
1369,Chrompet,996,2012-04-09,191,1,1,3,Family,Yes,1984-11-09,House,ELO,Gravel,RL,264927,63948,9135400,27,1984,2012
1370,Chrompet,969,2011-02-16,176,1,1,3,Family,No,1972-02-26,Others,No Sewage,Paved,RM,285331,43232,8646380,38,1972,2011
1371,Velachery,1506,2005-08-28,180,2,1,4,Adj Land,No,1982-03-09,Others,No Sewage,Gravel,C,291588,85761,8576110,23,1982,2005
1372,Chrompet,1095,2012-11-25,52,1,1,3,Partial,No,1993-11-30,House,All Pub,Gravel,RH,276119,108774,8367250,18,1993,2012
1373,KK Nagar,1329,2011-07-19,44,1,1,3,AbNormal,Yes,1992-07-23,Others,All Pub,Paved,RL,492038,236178,9840760,18,1992,2011
1374,Karapakkam,1130,2010-08-14,130,1,1,3,Partial,Yes,2005-08-15,Others,No Sewage,Gravel,RH,253845,177692,8461500,4,2005,2010
1375,Karapakkam,1299,2010-02-15,141,1,1,3,Normal Sale,No,1975-02-24,Commercial,All Pub,Paved,RL,458004,117164,10651250,34,1975,2010
1376,Karapakkam,514,2011-10-24,79,1,1,2,Adj Land,No,1973-02-11,House,All Pub,No Access,C,111366,43309,3093500,38,1973,2011
1377,KK Nagar,1738,2011-05-24,178,2,1,4,Adj Land,No,2006-05-25,House,All Pub,Gravel,RL,330042,159698,10646500,4,2006,2011
1378,T Nagar,1782,2013-05-13,168,1,1,4,Family,No,1993-05-18,House,No Sewage,Gravel,RH,375257,181576,12105050,19,1993,2013
1379,Karapakkam,749,2010-09-11,132,1,1,2,AbNormal,Yes,1964-11-20,House,No Sewage,No Access,RH,218325,101175,5325000,45,1964,2010
1380,Chrompet,1267,2008-04-15,5,2,1,4,Partial,Yes,1984-04-21,House,No Sewage,No Access,RL,234915,65776,9396600,23,1984,2008
1381,Karapakkam,694,2012-10-02,32,1,1,2,Adj Land,No,1977-02-18,Commercial,No Sewage,Gravel,I,270514,97108,6936250,35,1977,2012
1382,Adyar,1175,2008-08-08,69,1,1,3,Normal Sale,Yes,1979-08-16,Others,ELO,Paved,RL,418573,160990,10732635,28,1979,2008
1383,Anna Nagar,1846,2014-03-18,62,2,1,5,Adj Land,No,1972-03-28,Commercial,No Sewage,Paved,RL,769310,222695,20244990,41,1972,2014
1384,KK Nagar,1428,2009-05-26,17,2,1,4,Family,Yes,2002-05-28,Commercial,No Sewage,Paved,RH,648247,181509,12964940,6,2002,2009
1385,Adyar,824,2009-07-17,46,1,1,3,Family,Yes,1980-07-24,Others,All Pub,Paved,I,267959,102455,7881135,28,1980,2009
1386,Velachery,1637,2009-09-03,157,2,1,4,Family,Yes,1971-03-19,Commercial,No Sewage,Gravel,C,511497,242288,13460460,38,1971,2009
1387,KK Nagar,2189,2010-02-18,144,3,2,5,Adj Land,Yes,1998-02-21,Others,All Pub,Gravel,RL,510297,234461,13791820,11,1998,2010
1388,Adyar,1128,2009-11-15,123,1,1,3,Partial,Yes,1975-11-24,House,All Pub,No Access,RM,328536,19326,9662810,33,1975,2009
1389,Karapakkam,1213,2009-10-09,22,1,1,3,Normal Sale,No,1976-09-18,House,No Sewage,Paved,RL,325158,117610,6918250,33,1976,2009
1390,Velachery,1984,2006-07-20,138,3,2,5,AbNormal,Yes,1971-07-29,Commercial,No Sewage,Gravel,C,486061,282229,15679400,34,1971,2006
1391,Adyar,680,2008-01-28,126,1,1,2,Adj Land,Yes,1986-02-02,Commercial,ELO,Paved,A,257659,68709,8588630,21,1986,2008
1392,Velachery,1508,2004-01-05,54,2,1,4,Partial,No,1957-05-13,House,ELO,Paved,I,206724,137816,6890790,46,1957,2004
1393,Anna Nagar,2000,2014-09-09,102,2,1,5,Family,No,1972-09-19,Commercial,ELO,Paved,RL,690587,334830,20926890,41,1972,2014
1394,Anna Nagar,1538,2007-04-21,187,1,1,4,Family,Yes,1994-04-24,Commercial,All Pub,Gravel,RM,698753,139751,19964360,12,1994,2007
1395,T Nagar,1723,2014-03-30,19,1,1,4,Adj Land,Yes,1978-08-04,House,No Sewage,No Access,RL,490038,226171,12565070,35,1978,2014
1396,Chrompet,1161,2007-08-22,58,1,1,3,Family,Yes,1974-08-30,Others,ELO,Paved,RM,296434,127043,10586920,32,1974,2007
1397,Velachery,1676,2005-03-09,34,2,1,4,Partial,Yes,1977-10-09,Others,All Pub,Gravel,A,299942,118159,9089160,27,1977,2005
1398,T Nagar,1749,2014-12-19,4,1,1,4,Family,No,1997-12-23,House,No Sewage,Paved,RH,454076,113519,11351890,16,1997,2014
1399,KK Nagar,2199,2008-12-13,200,3,2,5,Partial,Yes,1990-12-18,House,No Sewage,Gravel,RM,561509,204185,12761560,17,1990,2008
1400,Chrompet,1101,2013-02-03,30,1,1,3,Family,No,1973-12-03,House,ELO,Gravel,RM,269472,62877,8982400,39,1973,2013
1401,Adyar,1240,2007-07-05,5,2,2,4,Partial,Yes,1999-09-05,Others,No Sewage,Paved,RH,404199,74458,10636820,7,1999,2007
1402,Adyar,1266,2007-07-11,7,2,2,4,Family,No,1969-11-16,Others,No Sewage,Gravel,A,300546,113720,8122870,37,1969,2007
1403,Chrompet,1021,2014-04-30,159,1,1,3,AbNormal,Yes,2005-02-05,Others,No Sewage,Paved,RH,298097,83840,9315520,9,2005,2014
1404,Velachery,1713,2010-08-10,72,2,1,4,Normal Sale,Yes,1974-10-17,House,No Sewage,Paved,A,292206,118462,7897470,35,1974,2010
1405,Velachery,1563,2006-08-08,158,2,1,4,Partial,No,1970-08-17,House,All Pub,No Access,A,174011,101039,5613270,35,1970,2006
1406,Chrompet,889,2009-06-01,133,1,1,3,Family,No,1994-10-01,Commercial,No Sewage,Gravel,RM,400826,133609,12146250,14,1994,2009
1407,Velachery,1925,2009-11-07,17,3,2,5,Adj Land,Yes,1982-07-18,Others,No Sewage,Gravel,C,331656,176883,11055190,27,1982,2009
1408,KK Nagar,1791,2010-01-01,107,3,2,5,Adj Land,No,1987-07-01,House,No Sewage,Gravel,RL,438239,125211,10434260,22,1987,2010
1409,Chrompet,910,2006-11-18,178,1,1,3,Normal Sale,Yes,1983-11-24,House,No Sewage,Paved,RM,303146,45931,9186250,22,1983,2006
1410,KK Nagar,2450,2011-05-16,78,4,2,6,Normal Sale,No,1999-05-19,House,No Sewage,Gravel,RH,360785,232765,11638240,11,1999,2011
1411,KK Nagar,1763,2010-12-24,155,2,1,4,Family,Yes,1983-12-31,Others,All Pub,Paved,RH,353206,83107,10388400,26,1983,2010
1412,Chrompet,1170,2012-03-28,5,1,1,3,AbNormal,No,1974-07-04,Commercial,All Pub,Paved,RH,385904,186728,12448500,37,1974,2012
1413,Adyar,1294,2010-10-23,26,2,2,4,Partial,Yes,1990-10-28,House,No Sewage,Gravel,RH,311499,155750,10383300,19,1990,2010
1414,KK Nagar,1386,2011-03-31,101,2,1,4,Partial,Yes,2006-01-04,Commercial,No Sewage,Paved,RM,496825,262213,13800700,5,2006,2011
1415,Karapakkam,1506,2010-05-04,156,2,2,4,Adj Land,Yes,1975-04-14,House,ELO,No Access,C,264460,161256,6450250,35,1975,2010
1416,Anna Nagar,1830,2011-10-07,33,2,1,5,AbNormal,No,1968-07-20,Commercial,No Sewage,Gravel,RM,769130,270235,20787310,43,1968,2011
1417,Chrompet,744,2013-01-08,112,1,1,2,AbNormal,Yes,1985-08-08,House,ELO,No Access,RH,174992,32406,6481200,27,1985,2013
1418,Chrompet,1298,2014-07-13,75,2,1,4,Partial,Yes,2010-07-14,House,No Sewage,No Access,RL,291582,116633,9719400,3,2010,2014
1419,Anna Nagar,1615,2013-08-19,181,1,1,4,AbNormal,No,1983-08-27,House,ELO,No Access,RH,295379,157535,9845950,29,1983,2013
1420,KK Nagar,1964,2011-05-29,35,3,2,5,Family,No,1992-02-06,House,No Sewage,Paved,RL,383214,211776,10084580,19,1992,2011
1421,Chrompet,812,2012-12-09,21,1,1,3,Normal Sale,No,2002-09-15,House,All Pub,No Access,RL,224009,86713,7226100,10,2002,2012
1422,Adyar,1270,2011-01-30,70,2,2,4,Adj Land,Yes,2000-02-02,Commercial,No Sewage,Paved,C,480796,160265,14569565,10,2000,2011
1423,Karapakkam,1045,2012-02-13,59,1,1,3,Normal Sale,No,1977-02-21,House,No Sewage,No Access,A,128691,53621,3574750,34,1977,2012
1424,Chrompet,1093,2008-04-11,51,1,1,3,AbNormal,No,1996-07-11,House,No Sewage,No Access,RM,271262,61253,8750400,11,1996,2008
1425,Chrompet,934,2008-06-30,29,1,1,3,Family,No,1994-04-07,Others,No Sewage,No Access,RH,193095,57213,7151680,14,1994,2008
1426,Velachery,1617,2011-11-23,171,2,1,4,Family,No,1969-03-12,House,No Sewage,No Access,RM,324098,76760,8528890,42,1969,2011
1427,Velachery,1994,2009-11-13,87,3,2,5,Normal Sale,No,1980-11-20,House,No Sewage,No Access,I,309945,92146,8376880,28,1980,2009
1428,Velachery,1759,2004-03-18,8,2,1,4,Adj Land,Yes,1975-03-26,House,No Sewage,Gravel,RM,443217,83852,11978830,28,1975,2004
1429,KK Nagar,1968,2009-12-17,126,3,2,5,AbNormal,Yes,1998-12-20,Others,No Sewage,Gravel,RM,652659,208851,13053180,10,1998,2009
1430,Karapakkam,785,2011-01-14,103,1,1,2,Family,No,1979-01-22,Others,No Sewage,No Access,I,194903,62203,4146875,31,1979,2011
1431,Velachery,1956,2011-03-02,11,3,2,5,AbNormal,No,1994-07-02,Others,No Sewage,Paved,C,353953,133928,9566290,16,1994,2011
1432,Karapakkam,1042,2010-12-04,27,1,1,3,Family,No,2005-04-13,Others,No Sewage,Gravel,C,281930,143964,5998500,5,2005,2010
1433,Anna Nagar,1566,2008-10-08,21,1,1,4,Family,No,1982-08-17,Others,No Sewage,No Access,RL,309693,114701,11470100,26,1982,2008
1434,KK Nagar,1380,2008-02-07,167,2,1,4,Family,No,1980-09-07,Commercial,All Pub,Gravel,RH,519292,193225,12076560,27,1980,2008
1435,Karapakkam,1047,2012-03-27,52,1,1,3,AbNormal,Yes,1962-09-04,House,All Pub,Gravel,I,332906,74734,6794000,49,1962,2012
1436,Chrompet,975,2012-07-07,80,1,1,3,Family,No,2001-10-07,House,No Sewage,Paved,RL,201871,129198,8074850,10,2001,2012
1437,Chrompet,1036,2010-02-04,152,1,1,3,Normal Sale,No,1993-06-04,House,No Sewage,No Access,RM,224466,33254,8313550,16,1993,2010
1438,Anna Nagar,1960,2010-10-25,56,2,1,5,Partial,No,1974-03-11,Others,No Sewage,Paved,RH,506073,77857,12976220,36,1974,2010
1439,KK Nagar,2438,2011-12-28,153,4,2,6,Normal Sale,No,2006-12-29,House,No Sewage,Paved,RL,368017,106844,11871500,4,2006,2011
1440,T Nagar,1752,2007-07-05,163,1,1,4,Normal Sale,No,1983-05-13,Others,No Sewage,No Access,RH,419552,119872,11987190,24,1983,2007
1441,Chrompet,1272,2012-08-30,192,2,1,4,AbNormal,No,1986-06-09,Others,ELO,Paved,RH,281019,27195,9065140,26,1986,2012
1442,Adyar,784,2006-12-14,17,1,1,2,Adj Land,No,1983-12-20,House,No Sewage,Gravel,RM,352718,90440,9044045,22,1983,2006
1443,KK Nagar,2461,2011-06-20,184,4,2,6,Partial,No,1983-06-27,Others,No Sewage,Gravel,RL,444954,152556,12712980,27,1983,2011
1444,Chrompet,911,2009-07-12,98,1,1,3,Partial,No,1981-12-14,Commercial,All Pub,Paved,RM,299198,34523,11507600,27,1981,2009
